Name,Industry,"Maternity Leave
TD Ameritrade,Finance: Diversified,10.5,1,N/A,N/A
Northern Trust,Finance: Diversified,10,N/A,N/A,N/A
Charles Schwab,Finance: Diversified,9,N/A,N/A,N/A
JPMorgan Chase,Finance: Diversified,10,N/A,N/A,N/A
Innisfree M&A Inc.,Finance: Diversified,8,N/A,N/A,N/A
Marsh & McLennan,Finance: Diversified,8,N/A,N/A,N/A
BB&T Corporation,Finance: Diversified,6,N/A,N/A,N/A
First Citizens Bancshares,Finance: Diversified,4,6,N/A,N/A
Navy Federal Credit Union,Finance: Credit Unions,12,4,N/A,N/A
American Express Company,Finance: Credit & Fund Services,23,0,N/A,N/A
Mastercard,Finance: Credit & Fund Services,16,0,N/A,N/A
American Honda Finance Corp,Finance: Credit & Fund Services,12,5,N/A,N/A
Equifax,Finance: Credit & Fund Services,12,N/A,6,N/A
Discover Financial Services,Finance: Credit & Fund Services,12,12,N/A,N/A
The Credit Pros,Finance: Credit & Fund Services,4,4,N/A,N/A
Trinity Lifetime,Finance: Asset Management,39,13,N/A,N/A
St. James's Place plc,Finance: Asset Management,26,N/A,26,N/A
Gemini Trust Company,Finance: Asset Management,18,0,N/A,N/A
Bain Capital,Finance: Asset Management,16,N/A,N/A,N/A
KKR & Co. LP,Finance: Asset Management,16,N/A,N/A,N/A
Apollo Global Management,Finance: Asset Management,16,N/A,2,0
Point72,Finance: Asset Management,16,0,4,N/A
AQR Capital Management,Finance: Asset Management,16,0,N/A,N/A
"BlackRock, Inc.",Finance: Asset Management,16,52,N/A,N/A
BNY Mellon,Finance: Asset Management,16,8,N/A,N/A
TIAA,Finance: Asset Management,16,0,N/A,N/A
TPG Capital,Finance: Asset Management,16,0,N/A,N/A
PIMCO,Finance: Asset Management,12,0,N/A,N/A
Capital Group,Finance: Asset Management,12,0,N/A,N/A
Merrill,Finance: Asset Management,11,6,16,N/A
Fisher Investments,Finance: Asset Management,8,4,N/A,N/A
Mercer Advisors,Finance: Asset Management,6,0,N/A,12
Vanguard Group,Finance: Asset Management,6,0,N/A,N/A
American Century Investments,Finance: Asset Management,6,0,N/A,N/A
Bridgewater Associates,Finance: Asset Management,6,6,N/A,N/A
Coller Capital Ltd.,Finance: Asset Management,6,N/A,N/A,N/A
North Star Resource Group,Finance: Asset Management,6,N/A,N/A,N/A
Marks Group Wealth Management,Finance: Asset Management,4,N/A,N/A,N/A
American Endowment Foundation,Finance: Asset Management,0,N/A,N/A,N/A
WealthVest,Finance: Asset Management,0,9,N/A,N/A
"Arrow Electronics, Inc.",Electronics: Wholesaler,6,0,6,N/A
iRobot,Electronics: Manufacturing,16,0,N/A,N/A
Samsung Electronics,Electronics: Manufacturing,13.5,N/A,N/A,N/A
Trane Technologies,Electronics: Manufacturing,10,0,N/A,N/A
Maxim Integrated Products,Electronics: Manufacturing,8,12,N/A,N/A
"Mettler-Toledo International, Inc",Electronics: Manufacturing,6,6,N/A,N/A
Brother International Corporation,Electronics: Manufacturing,6,12,N/A,N/A
Sanmina,Electronics: Manufacturing,6,6,N/A,N/A
"Chamberlain Group, Inc.",Electronics: Manufacturing,4,0,N/A,N/A
Belden,Electronics: Manufacturing,0,12,0,12
Achievement First,Educational Services: School,42,14,N/A,N/A
Curtis Institute of Music,Educational Services: School,12,N/A,12,N/A
Beaver Country Day School,Educational Services: School,4,2,N/A,N/A
Austin Independent School District,Educational Services: School,1,N/A,N/A,N/A
CIEE,Educational Services: Management,12,12,N/A,N/A
Skillcrush,Educational Services: E-Learning,8,8,N/A,N/A
Concordia University,Educational Services: College & Universities,52,26,N/A,N/A
Imperial College London,Educational Services: College & Universities,18,N/A,N/A,N/A
Weill Cornell Medicine,Educational Services: College & Universities,12.5,N/A,N/A,N/A
MIT,Educational Services: College & Universities,12,12,N/A,N/A
University of Michigan,Educational Services: College & Universities,12,12,N/A,N/A
Tufts University,Educational Services: College & Universities,12,4,N/A,N/A
Florida International University,Educational Services: College & Universities,12,12,N/A,N/A
University of Southern California,Educational Services: College & Universities,12,4,N/A,N/A
Lasell College,Educational Services: College & Universities,12,N/A,N/A,N/A
Merrimack College,Educational Services: College & Universities,12,N/A,N/A,N/A
University At Buffalo,Educational Services: College & Universities,12,N/A,N/A,N/A
University of Pennsylvania,Educational Services: College & Universities,10,2,4,N/A
NYU Langone Health,Educational Services: College & Universities,9.5,N/A,N/A,N/A
Northwestern University,Educational Services: College & Universities,9,6,N/A,N/A
Yale University,Educational Services: College & Universities,8,8,N/A,N/A
Northeastern University,Educational Services: College & Universities,8,4,N/A,N/A
Marquette University,Educational Services: College & Universities,8,N/A,N/A,N/A
Duke University,Educational Services: College & Universities,7.5,12,N/A,N/A
Walden University,Educational Services: College & Universities,6,6,1,N/A
Case Western Reserve University,Educational Services: College & Universities,6,N/A,N/A,N/A
Reaktor,Design,16,8,N/A,N/A
Golden Touch,Design,6,6,N/A,N/A
Full Creative,Design,6,6,N/A,N/A
Sierra Nevada Corperation,Defense & Space,5,8,N/A,N/A
Northrop Grumman Corporation,Defense & Space,5,12,N/A,N/A
BAE Systems,Defense & Space,2,12,N/A,N/A
The Estee Lauder Companies Inc.,Cosmetics,26,0,N/A,N/A
L'Oréal USA,Cosmetics,14,0,N/A,N/A
Benefit Cosmetics LLC,Cosmetics,12,4,N/A,N/A
Aesop,Cosmetics,12,N/A,6,N/A
Mac Cosmetics,Cosmetics,12,8,N/A,N/A
Curology,Cosmetics,12,12,N/A,N/A
Hasbro Inc.,Consumer Packaged Goods: Toys & Baby Products,18,18,N/A,13
"Altria Group, Inc.",Consumer Packaged Goods: Tobacco,6,0,N/A,N/A
Colgate-Palmolive Company,Consumer Packaged Goods: Packaged Products,26,0,N/A,N/A
Reckitt Benckiser,Consumer Packaged Goods: Packaged Products,16,36,N/A,N/A
Procter & Gamble,Consumer Packaged Goods: Packaged Products,16,52,N/A,N/A
Unilever,Consumer Packaged Goods: Packaged Products,16,4,N/A,N/A
Johnson & Johnson,Consumer Packaged Goods: Packaged Products,12,46,8,N/A
The Scotts Miracle-Gro Company,Consumer Packaged Goods: Packaged Products,10,0,N/A,N/A
Nestle Purina PetCare Company,Consumer Packaged Goods: Packaged Products,1,0,N/A,N/A
Henkel,Consumer Packaged Goods: Packaged Products,0,16,N/A,N/A
"The Dannon Company, Inc.",Consumer Packaged Goods: Packaged Foods,20,0,N/A,N/A
"General Mills, Inc.",Consumer Packaged Goods: Packaged Foods,18,12,12,N/A
The J.M. Smucker Company,Consumer Packaged Goods: Packaged Foods,8,8,N/A,N/A
Lindt & Sprüngli,Consumer Packaged Goods: Packaged Foods,6,6,N/A,N/A
"ConAgra Foods, Inc.",Consumer Packaged Goods: Packaged Foods,6,6,N/A,N/A
Chewy,Consumer Packaged Goods: Packaged Foods,6,6,N/A,N/A
"Mondelez International, Inc.",Consumer Packaged Goods: Packaged Foods,6,7,6,N/A
The Coffee Bean & Tea Leaf,Consumer Packaged Goods: Packaged Foods,6,0,N/A,N/A
Memphis Meats,Consumer Packaged Goods: Packaged Foods,6,12,6,12
Anheuser-Busch InBev,Consumer Packaged Goods: Beverages,26,26,N/A,N/A
Beam Suntory,Consumer Packaged Goods: Beverages,26,0,N/A,N/A
Miller Coors,Consumer Packaged Goods: Beverages,16,34,16,N/A
Nestle Waters,Consumer Packaged Goods: Beverages,14,10,N/A,N/A
Pernod Ricard,Consumer Packaged Goods: Beverages,12,0,N/A,N/A
Molson Coors Brewing Company,Consumer Packaged Goods: Beverages,12,0,N/A,N/A
E. & J. Gallo Winery,Consumer Packaged Goods: Beverages,9,12,N/A,N/A
PepsiCo,Consumer Packaged Goods: Beverages,7.5,8,N/A,N/A
Boston Beer Company,Consumer Packaged Goods: Beverages,3,10,N/A,N/A
OC&C Strategy Consultants,Consulting Services,26,N/A,N/A,N/A
Dalberg,Consulting Services,26,26,N/A,N/A
Oliver Wyman,Consulting Services,20,0,N/A,N/A
Deloitte,Consulting Services,16,4,N/A,N/A
Accenture,Consulting Services,16,4,N/A,N/A
Bain & Company,Consulting Services,16,3,N/A,N/A
Artemis Connection,Consulting Services,16,N/A,N/A,N/A
ZS,Consulting Services,16,10,N/A,N/A
EY,Consulting Services,16,26,16,N/A
Mead & Hunt,Consulting Services,16,N/A,N/A,N/A
Heidrick & Struggles,Consulting Services,16,12,N/A,N/A
Boston Consulting Group,Consulting Services,16,4,N/A,N/A
West Monroe,Consulting Services,12,0,N/A,N/A
PwC,Consulting Services,12,4,N/A,N/A
84.51°,Consulting Services,12,0,N/A,N/A
Capgemini Consulting Worldwide,Consulting Services,12,N/A,N/A,N/A
Mercer Consulting,Consulting Services,12,8,N/A,N/A
Protiviti,Consulting Services,12,0,N/A,N/A
Slalom Consulting,Consulting Services,12,26,N/A,N/A
DeciBio,Consulting Services,12,N/A,N/A,N/A
Alvarez & Marsal,Consulting Services,12,N/A,N/A,N/A
KPMG,Consulting Services,11,N/A,N/A,N/A
Intentional Futures,Consulting Services,8,6,N/A,N/A
Macro Consultants LLC,Consulting Services,8,12,N/A,N/A
MSA Worldwide,Consulting Services,8,0,N/A,N/A
SRK Consulting,Consulting Services,8,12,N/A,N/A
World 50,Consulting Services,8,12,N/A,N/A
Pariveda Solutions,Consulting Services,6,0,N/A,N/A
GHD Group Pty Ltd,Consulting Services,6,12,N/A,N/A
Booz Allen Hamilton,Consulting Services,5,N/A,N/A,N/A
Navigant Consulting,Consulting Services,6,N/A,N/A,N/A
Stride Consulting,Consulting Services,3,N/A,N/A,N/A
Search Discovery,Consulting Services,2,12,N/A,N/A
General Electric,Conglomerate,14,26,N/A,N/A
Newell Brands,Conglomerate,12,3,N/A,N/A
"Ecolab, Inc.",Conglomerate,9,0,6,N/A
United Technologies,Conglomerate,12,0,N/A,N/A
Siemens,Conglomerate,6,6,2,N/A
Koch Industries,Conglomerate,6,6,N/A,N/A
Growmark,Conglomerate,2,12,N/A,N/A
olo,Business Services: Technology Solutions,12,12,N/A,N/A
CareDox,Business Services: Technology Solutions,12,1,N/A,N/A
Todaytix,Business Services: Technology Solutions,12,0,N/A,N/A
Alight Solutions,Business Services: Technology Solutions,9,6,N/A,N/A
Pitney Bowes,Business Services: Technology Solutions,8,0,N/A,N/A
CGI Group,Business Services: Technology Solutions,8,0,N/A,N/A
Legacy.com,Business Services: Technology Solutions,2,10,N/A,N/A
Westat,Business Services: Technology Solutions,0,12,N/A,N/A
Randstad Sourceright,Business Services: Staffing & Outsourcing,39,13,N/A,N/A
Daversa Partners,Business Services: Staffing & Outsourcing,12,0,N/A,N/A
Krucial Staffing,Business Services: Staffing & Outsourcing,12,0,N/A,N/A
Search Solution Group,Business Services: Staffing & Outsourcing,12,6,N/A,N/A
Onward Search,Business Services: Staffing & Outsourcing,8,12,N/A,N/A
Robert Half,Business Services: Staffing & Outsourcing,6,4,N/A,N/A
Beetroot,Business Services: Staffing & Outsourcing,6,52,N/A,N/A
EA Langenfeld,Business Services: Staffing & Outsourcing,6,12,N/A,N/A
Paychex Inc,Business Services: Staffing & Outsourcing,6,6,6,N/A
Randstad USA,Business Services: Staffing & Outsourcing,5,7,0,0
Maxim Healthcare Services,Business Services: Staffing & Outsourcing,5,0,N/A,N/A
Rochester Telemessaging Center,Business Services: Staffing & Outsourcing,3,12,N/A,N/A
"Aerotek, Inc.",Business Services: Staffing & Outsourcing,2,10,N/A,N/A
Hays PLC,Business Services: Staffing & Outsourcing,2,N/A,N/A,N/A
Allegis Global Solutions,Business Services: Staffing & Outsourcing,2,12,N/A,N/A
Concurrent HRO,Business Services: Staffing & Outsourcing,2,2,N/A,N/A
Kforce,Business Services: Staffing & Outsourcing,1,0,N/A,N/A
S.i. Systems,Business Services: Staffing & Outsourcing,0,N/A,N/A,N/A
24-7 Intouch,Business Services: Staffing & Outsourcing,0,N/A,0,N/A
Securitas,Business Services: Security,52,52,0,N/A
G4S,Business Services: Security,2,N/A,N/A,N/A
WeWork,Business Services: Other,16,4,16,4
UL LLC,Business Services: Other,13.5,15.5,N/A,N/A
Corteva Agriscience,Business Services: Other,12,0,N/A,N/A
The Larkin Company,Business Services: Other,12,12,N/A,N/A
Interactive Advertising Bureau,Business Services: Other,12,0,N/A,N/A
"LOTH, Inc.",Business Services: Other,10,0,N/A,N/A
ICON plc,Business Services: Other,8,4,N/A,N/A
StructureCare,Business Services: Other,8,4,N/A,N/A
"CoStar Group, Inc.",Business Services: Other,6,6,N/A,N/A
MIC Global Services,Business Services: Other,6,12,N/A,N/A
Mathematica Policy Research,Business Services: Other,6,10,N/A,N/A
Total System Services,Business Services: Other,6,6,N/A,N/A
ADP,Business Services: Human Resources,6,2,N/A,N/A
Aramark Holdings Corporation,Business Services: Food & Hospitality,6,12,N/A,N/A
Sodexo,Business Services: Food & Hospitality,6,12,0,0
Compass Group PLC,Business Services: Food & Hospitality,0,N/A,N/A,N/A
Cintas Corporation,Business Services: Food & Hospitality,0,12,N/A,N/A
Johnson Controls,Automotive: Parts Manufacturing,6,4.5,6,N/A
Continental,Automotive: Parts Manufacturing,4,4,N/A,N/A
The Goodyear Tire & Rubber Company,Automotive: Parts Manufacturing,6,12,N/A,N/A
Bendix Commercial Vehicle Systems,Automotive: Parts Manufacturing,6,0,N/A,N/A
Michelin,Automotive: Parts Manufacturing,2,0,N/A,N/A
General Motors,Automotive: Manufacturers,10,39,N/A,N/A
Aptiv PLC,Automotive: Manufacturers,8,16,N/A,N/A
FCA US LLC,Automotive: Manufacturers,7.5,1,0,N/A
Nissan North America,Automotive: Manufacturers,6,N/A,N/A,N/A
Toyota North America,Automotive: Manufacturers,6,N/A,0,N/A
Young Automotive Group,Automotive: Dealers,3,12,N/A,N/A
Creative Artists Agency,Arts & Entertainment,12,N/A,12,N/A
LaneOne,Arts & Entertainment,6,0,N/A,N/A
GoDigital Media Group,Arts & Entertainment,0,N/A,0,N/A
Boeing,Aerospace,12,12,12,N/A
Thales Group,Aerospace,8,3,N/A,N/A
Lockheed Martin Corporation,Aerospace,8,0,4,N/A
Cessna Aircraft Company,Aerospace,8,10,12,N/A
eMarketer,Advertising: Market Research,12,0,N/A,N/A
Grant Thornton,Accounting Services,52,52,N/A,N/A
Mazars USA,Accounting Services,13,13,N/A,N/A
RSM US LLP,Accounting Services,12,0,7,N/A
CliftonLarsonAllen,Accounting Services,9.5,9,N/A,N/A
Crowe,Accounting Services,6,0,N/A,N/A
Myers & Stauffer LC,Accounting Services,8,52,N/A,N/A
Medidata Solutions,Technology: Software,16,N/A,N/A,N/A
Nutanix,Technology: Software,16,1,N/A,N/A
"HubSpot, Inc.",Technology: Software,16,N/A,N/A,N/A
NetSuite Inc.,Technology: Software,16,47,N/A,N/A
Safety Labs Inc,Technology: Software,15,N/A,N/A,N/A
Zapier,Technology: Software,14,N/A,N/A,N/A
Microsoft,Technology: Software,12,N/A,N/A,N/A
"Intuit, Inc",Technology: Software,12,7,N/A,N/A
AppDynamics,Technology: Software,13,0,N/A,N/A
NexJ Systems Inc.,Technology: Software,13,N/A,N/A,N/A
Oracle,Technology: Software,12,N/A,N/A,N/A
Alkami Technology,Technology: Software,12,N/A,N/A,N/A
"PTC, Inc",Technology: Software,12,0,N/A,N/A
Patron Technology,Technology: Software,12,N/A,N/A,N/A
CentralSquare Technologies,Technology: Software,12,N/A,N/A,N/A
Tableau Software,Technology: Software,12,N/A,N/A,N/A
"LogMeIn, Inc.",Technology: Software,12,N/A,N/A,N/A
Pegasystems Inc.,Technology: Software,12,12,N/A,N/A
GoodCore Software,Technology: Software,12,N/A,N/A,N/A
Klaviyo,Technology: Software,12,N/A,N/A,N/A
Sage Intacct,Technology: Software,12,0,N/A,N/A
MobileIron,Technology: Software,12,16,N/A,N/A
ConsenSys,Technology: Software,12,N/A,N/A,N/A
Mapbox,Technology: Software,12,0,N/A,N/A
Looker,Technology: Software,12,N/A,N/A,N/A
Amplitude,Technology: Software,12,N/A,N/A,N/A
"Panopto, Inc.",Technology: Software,12,4,N/A,N/A
GitHub,Technology: Software,12,N/A,N/A,N/A
"Pivotal Software, Inc.",Technology: Software,12,0,N/A,N/A
PhotoShelter,Technology: Software,12,N/A,N/A,N/A
Blackbaud,Technology: Software,12,N/A,N/A,N/A
New Relic,Technology: Software,10,N/A,N/A,N/A
Medallia,Technology: Software,10,N/A,N/A,N/A
DxMinds Technologies Inc,Technology: Software,10,N/A,N/A,N/A
BMC Software Inc.,Technology: Software,10,N/A,N/A,N/A
Bubble,Technology: Software,10,N/A,N/A,N/A
ServiceTitan,Technology: Software,9,N/A,N/A,N/A
InterSystems,Technology: Software,9,3,N/A,N/A
Lionbridge,Technology: Software,8,N/A,N/A,N/A
Paytronix Systems,Technology: Software,8,4,N/A,N/A
Ellevation Education,Technology: Software,8,0,N/A,N/A
MINDBODY,Technology: Software,6,N/A,N/A,N/A
Lithero,Technology: Software,8,4,N/A,N/A
Flexera Software,Technology: Software,8,N/A,N/A,N/A
"Wrike, Inc.",Technology: Software,8,N/A,N/A,N/A
Ultimate Software,Technology: Software,6,N/A,N/A,N/A
Xactly Corporation,Technology: Software,6,N/A,N/A,N/A
Capstone Technology,Technology: Software,6,N/A,N/A,N/A
Agilysys,Technology: Software,6,N/A,N/A,N/A
"Tyler Technologies, Inc.",Technology: Software,6,N/A,N/A,N/A
"Bentley Systems, Inc.",Technology: Software,6,N/A,N/A,N/A
"AppNexus, a Xandr Company",Technology: Software,6,N/A,N/A,N/A
BrightEdge,Technology: Software,6,N/A,N/A,N/A
ANSYS,Technology: Software,6,N/A,N/A,N/A
Mentor Graphics,Technology: Software,6,N/A,N/A,N/A
Wowza Media Systems,Technology: Software,6,6,N/A,N/A
Xero,Technology: Software,6,N/A,N/A,N/A
Frontline Education,Technology: Software,6,N/A,N/A,N/A
Interfolio,Technology: Software,6,N/A,N/A,N/A
Qualtrics,Technology: Software,4,N/A,N/A,N/A
"ExamSoft Worldwide, Inc.",Technology: Software,4,N/A,N/A,N/A
SurveyGizmo,Technology: Software,4,N/A,N/A,N/A
"Sulzer US, LLC",Technology: Software,4,N/A,N/A,N/A
Esri,Technology: Software,4,N/A,N/A,N/A
Workiva,Technology: Software,3,N/A,N/A,N/A
Thryv,Technology: Software,3,N/A,N/A,N/A
Praxent,Technology: Software,2,N/A,N/A,N/A
panOpen,Technology: Software,2,N/A,N/A,N/A
NextGen Healthcare,Technology: Software,2,N/A,N/A,N/A
Epic Systems,Technology: Software,2,N/A,N/A,N/A
Funnel,Technology: Software,0,N/A,N/A,N/A
Garmin,Technology: Manufacturing,2,N/A,N/A,N/A
Pandora,Technology: Consumer Internet,12,N/A,N/A,N/A
AOL,Technology: Consumer Internet,12,N/A,N/A,N/A
Freewheel,Technology: Consumer Internet,12,4,N/A,N/A
Amazon,Technology: Consumer Internet,12,N/A,N/A,N/A
Grubhub,Technology: Consumer Internet,12,0,N/A,N/A
Angie's List,Technology: Consumer Internet,11,N/A,N/A,N/A
CampusLogic,Technology: Consumer Internet,10,0,N/A,N/A
DoorDash,Technology: Consumer Internet,8,N/A,N/A,N/A
Offerup,Technology: Consumer Internet,8,8,N/A,N/A
Rebag,Technology: Consumer Internet,8,0,N/A,N/A
Talentsky,Technology: Consumer Internet,6,12,N/A,N/A
ON Semiconductor,Technology: Consumer Internet,4,N/A,N/A,N/A
WorkMarket,Technology: Consumer Internet,4,0,N/A,N/A
Zillow,Technology: Consumer Internet,4,N/A,N/A,N/A
Ibotta,Technology: Consumer Internet,4,0,N/A,N/A
Travelzoo,Technology: Consumer Internet,4,N/A,N/A,N/A
Divercity,Technology: Consumer Internet,1,1,N/A,N/A
"Twitch Interactive, Inc",Technology: Consumer Internet,0,N/A,N/A,N/A
Inovalon,Technology: B2B Tech Services,2,N/A,N/A,N/A
GDIT,Technology: B2B Tech Services,1,N/A,N/A,N/A